Resultados da exucução:
MQH C1AD 4D4F
MQH 4D4F 802F
MQH 802F 941C
MQH 941C 2988
MQH 2988 AE2F
MQH AE2F 0A3D
MQH 0A3D C9C4
MQH C9C4 E674
MQH E674 9033
MQH 9033 5403
MQH 5403 5753
MQH 5753 1643
MQH 1643 22A8
MQH 22A8 194A
MQH 194A 5F96
MQH 5F96 85C2
MQH 85C2 0DA7
MQH 0DA7 AD50
MQH AD50 72B3
MQH 72B3 17D7
MQH 17D7 0C95
MQH 0C95 DDCB
MQH DDCB B7B0
MQH B7B0 625B
MQH 625B A21A
MQH A21A 2AFA
MQH 2AFA 8924
MQH 8924 307E
MQH 307E D35B
MQH D35B ABBE
MQH ABBE 381B
MQH 381B 92E7
MQH 92E7 FE9F
MQH FE9F 761A
MQH 761A C8A8
MQH C8A8 76F2
MQH 76F2 9849
MQH 9849 A2CB
MQH A2CB 5BFE
MQH 5BFE BB2F
MQH BB2F 1935
MQH 1935 F5D5
MQH F5D5 ECC5
MQH ECC5 759C
MQH 759C 2358
MQH 2358 80A2
MQH 80A2 DAD0
MQH DAD0 1ECD
MQH 1ECD 6A81
MQH 6A81 9340
MQH 9340 1FD5
MQH 1FD5 A543
MQH A543 DA77
MQH DA77 9D8C
MQH 9D8C 2822
MQH 2822 0529
MQH 0529 D498
MQH D498 AA0D
MQH AA0D F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
MQH B681 F21A
MQH F21A 500D
MQH 500D 0C06
MQH 0C06 533D
MQH 533D 56BD
MQH 56BD A98B
MQH A98B F6FE
MQH F6FE D962
MQH D962 3A8A
MQH 3A8A 9FDA
MQH 9FDA 16F9
MQH 16F9 D056
MQH D056 55C9
MQH 55C9 0E7D
MQH 0E7D F4E9
MQH F4E9 57DD
MQH 57DD B681
